打开考生文件夹下的演示文稿yswg.pptx, 按照下列要求完成对此文稿的修饰并保存。

1. 为整个演示文稿应用“切片”主题；放映方式设置为“观众自行浏览（窗口）”；设置幻灯片的大小为“宽屏（16:9）”。

2. 将第1张幻灯片标题中的文字，字体设置为“华文琥珀”，字体样式为“加粗”，字体大小为60磅字；副标题中的文字，字体设置为“宋体”，字体样式为“加粗”、字体大小为32磅字，字体颜色设置成标准色蓝色。

3. 在第2张幻灯片前面中插入一张新幻灯片，版式为“标题和内容”，在标题处输入文字“目录”，在内容框中按顺序输入第3到第6张幻灯片的标题，并且添加相应幻灯片的超链接。

4. 将第3张幻灯片的版式改为“标题和内容”，在文本栏内插入一个四行二列的表格，表格内容取自考生文件夹下的Word文件（素材.docx）内的相应内容。

5. 将第4张幻灯片的版式改为“两栏内容”，将考生文件夹下的图片文件（ppt1.jpg）插入到左侧栏中，图片动画设置为“进入/飞入”，将考生文件夹下的图片文件（ppt2.jpg）插入到右侧栏中，图片动画设置为“进入/淡出”。

6. 将第5张幻灯片中文本框内的文字插入项目符号●，动画设置为“进入/缩放”，效果选项“幻灯片中心”。

7. 将第6张幻灯片的版式改为“标题和内容”，在文本框内中插入一个SmartArt图形，布局为“垂直重点列表”，SmartArt样式为“卡通”，将考生文件夹下的Word文件（素材.docx）内的相应内容插入到这个SmartArt图形相应的地方。

8. 设置全体幻灯片切换方式为“涟漪”，并且每张幻灯片的自动换片时间是5秒。
